#direkt 	 verbessert 	 relativer Fehler 
0	1e-09	1
0	1.5e-09	1
0	2e-09	1
0	2.5e-09	1
0	3e-09	1
0	3.5e-09	1
0	4e-09	1
0	4.5e-09	1
0	5e-09	1
1.00929e-08	5.5e-09	0.835079
9.25186e-09	6e-09	0.541976
8.54018e-09	6.5e-09	0.313873
7.93016e-09	7e-09	0.132881
7.40149e-09	7.5e-09	0.0131351
6.93889e-09	8e-09	0.132638
6.53072e-09	8.5e-09	0.23168
6.16791e-09	9e-09	0.314677
1.16866e-08	9.5e-09	0.230164
1.11022e-08	1e-08	0.110223
1.05736e-08	1.05e-08	0.00700501
1.00929e-08	1.1e-08	0.0824603
9.65411e-09	1.15e-08	0.160512
1.38778e-08	1.2e-08	0.156482
1.33227e-08	1.25e-08	0.0658141
1.28103e-08	1.3e-08	0.0145949
1.23358e-08	1.35e-08	0.0862362
1.58603e-08	1.4e-08	0.132881
1.53134e-08	1.45e-08	0.056098
1.4803e-08	1.5e-08	0.0131351
1.43255e-08	1.55e-08	0.0757769
1.73472e-08	1.6e-08	0.0842022
1.68216e-08	1.65e-08	0.0194885
1.63268e-08	1.7e-08	0.0395995
1.90324e-08	1.75e-08	0.0875654
1.85037e-08	1.8e-08	0.0279843
1.80036e-08	1.85e-08	0.0268315
2.04515e-08	1.9e-08	0.0763935
1.99271e-08	1.95e-08	0.0219015
1.94289e-08	2e-08	0.0285549
2.16629e-08	2.05e-08	0.0567263
2.11471e-08	2.1e-08	0.00700501
2.06553e-08	2.15e-08	0.0392878
2.27091e-08	2.2e-08	0.0322322
2.22045e-08	2.25e-08	0.0131351
2.41353e-08	2.3e-08	0.0493601
2.36218e-08	2.35e-08	0.00518155
2.31296e-08	2.4e-08	0.0362647
2.49234e-08	2.45e-08	0.0172806
2.44249e-08	2.5e-08	0.0230037
2.61229e-08	2.55e-08	0.0244272
2.56205e-08	2.6e-08	0.0145949
2.72319e-08	2.65e-08	0.0276183
2.67276e-08	2.7e-08	0.0100892
2.82602e-08	2.75e-08	0.0276445
2.77556e-08	2.8e-08	0.00872944
2.92164e-08	2.85e-08	0.0251367
2.87127e-08	2.9e-08	0.00990812
3.01077e-08	2.95e-08	0.0206015
2.96059e-08	3e-08	0.0131351
3.09406e-08	3.05e-08	0.0144473
3.04416e-08	3.1e-08	0.0180129
3.17207e-08	3.15e-08	0.00700501
3.1225e-08	3.2e-08	0.024218
3.24527e-08	3.25e-08	0.00145621
3.36431e-08	3.3e-08	0.0194885
3.3141e-08	3.35e-08	0.0107168
3.42863e-08	3.4e-08	0.00842057
3.37894e-08	3.45e-08	0.0205972
3.48927e-08	3.5e-08	0.00306504
3.5965e-08	3.55e-08	0.0130978
3.54655e-08	3.6e-08	0.0148484
3.65005e-08	3.65e-08	1.32329e-05
3.75075e-08	3.7e-08	0.0137172
3.70074e-08	3.75e-08	0.0131351
3.79813e-08	3.8e-08	0.000491737
3.89299e-08	3.85e-08	0.0111662
3.84308e-08	3.9e-08	0.0145949
3.93497e-08	3.95e-08	0.00380565
4.02456e-08	4e-08	0.00613962
4.11194e-08	4.05e-08	0.0152931
4.06179e-08	4.1e-08	0.00931913
4.14662e-08	4.15e-08	0.000815394
4.22942e-08	4.2e-08	0.00700501
4.31028e-08	4.25e-08	0.014183
4.26016e-08	4.3e-08	0.00926555
4.3388e-08	4.35e-08	0.00257411
4.41566e-08	4.4e-08	0.00355904
4.49079e-08	4.45e-08	0.00916624
4.44089e-08	4.5e-08	0.0131351
4.51409e-08	4.55e-08	0.00789151
4.5857e-08	4.6e-08	0.00310787
4.65577e-08	4.65e-08	0.00124171
4.72435e-08	4.7e-08	0.00518155
4.79149e-08	4.75e-08	0.00873449
4.85723e-08	4.8e-08	0.011922
4.80715e-08	4.85e-08	0.0088348
4.87139e-08	4.9e-08	0.00583944
4.93432e-08	4.95e-08	0.00316676
4.996e-08	5e-08	0.000799278
5.05646e-08	5.05e-08	0.00127947
