#direkt 	 verbessert 	 relativer Fehler 
0	1.8735e-12	1
0	2.81026e-12	1
0	3.74701e-12	1
0	4.68376e-12	1
0	5.62051e-12	1
0	6.55726e-12	1
0	7.49402e-12	1
0	8.43077e-12	1
0	9.36752e-12	1
0	1.03043e-11	1
0	1.1241e-11	1
0	1.21778e-11	1
0	1.31145e-11	1
0	1.40513e-11	1
0	1.4988e-11	1
0	1.59248e-11	1
0	1.68615e-11	1
0	1.77983e-11	1
0	1.8735e-11	1
0	1.96718e-11	1
0	2.06085e-11	1
0	2.15453e-11	1
0	2.24821e-11	1
0	2.34188e-11	1
0	2.43556e-11	1
0	2.52923e-11	1
0	2.62291e-11	1
0	2.71658e-11	1
0	2.81026e-11	1
0	2.90393e-11	1
0	2.99761e-11	1
0	3.09128e-11	1
0	3.18496e-11	1
0	3.27863e-11	1
0	3.37231e-11	1
0	3.46598e-11	1
0	3.55966e-11	1
0	3.65333e-11	1
0	3.74701e-11	1
0	3.84068e-11	1
0	3.93436e-11	1
0	4.02803e-11	1
0	4.12171e-11	1
0	4.21538e-11	1
0	4.30906e-11	1
0	4.40273e-11	1
0	4.49641e-11	1
0	4.59009e-11	1
0	4.68376e-11	1
0	4.77744e-11	1
0	4.87111e-11	1
0	4.96479e-11	1
0	5.05846e-11	1
0	5.15214e-11	1
0	5.24581e-11	1
0	5.33949e-11	1
0	5.43316e-11	1
1.09052e-10	5.52684e-11	0.973141
1.09052e-10	5.62051e-11	0.940256
1.09052e-10	5.71419e-11	0.908448
1.09052e-10	5.80786e-11	0.877667
1.09052e-10	5.90154e-11	0.847863
1.09052e-10	5.99521e-11	0.81899
1.09052e-10	6.08889e-11	0.791005
1.09052e-10	6.18256e-11	0.763869
1.09052e-10	6.27624e-11	0.737542
1.09052e-10	6.36991e-11	0.71199
1.09052e-10	6.46359e-11	0.687179
1.09052e-10	6.55726e-11	0.663076
1.09052e-10	6.65094e-11	0.639653
1.09052e-10	6.74462e-11	0.61688
1.09052e-10	6.83829e-11	0.594731
1.09052e-10	6.93197e-11	0.57318
1.09052e-10	7.02564e-11	0.552205
1.09052e-10	7.11932e-11	0.531781
1.09052e-10	7.21299e-11	0.511888
1.09052e-10	7.30667e-11	0.492504
1.09052e-10	7.40034e-11	0.473612
1.09052e-10	7.49402e-11	0.455192
1.09052e-10	7.58769e-11	0.437226
1.09052e-10	7.68137e-11	0.419699
1.09052e-10	7.77504e-11	0.402595
1.09052e-10	7.86872e-11	0.385897
1.09052e-10	7.96239e-11	0.369592
1.09052e-10	8.05607e-11	0.353667
1.09052e-10	8.14974e-11	0.338107
1.09052e-10	8.24342e-11	0.322902
1.09052e-10	8.33709e-11	0.308038
1.09052e-10	8.43077e-11	0.293504
1.09052e-10	8.52444e-11	0.27929
1.09052e-10	8.61812e-11	0.265384
1.09052e-10	8.71179e-11	0.251778
1.09052e-10	8.80547e-11	0.238461
1.09052e-10	8.89915e-11	0.225425
1.09052e-10	8.99282e-11	0.21266
1.09052e-10	9.0865e-11	0.200158
1.09052e-10	9.18017e-11	0.187912
1.09052e-10	9.27385e-11	0.175913
1.09052e-10	9.36752e-11	0.164153
1.09052e-10	9.4612e-11	0.152627
1.09052e-10	9.55487e-11	0.141327
1.09052e-10	9.64855e-11	0.130246
1.09052e-10	9.74222e-11	0.119378
1.09052e-10	9.8359e-11	0.108718
1.09052e-10	9.92957e-11	0.098258
1.09052e-10	1.00232e-10	0.0879939
1.09052e-10	1.01169e-10	0.0779199
1.09052e-10	1.02106e-10	0.0680307
1.09052e-10	1.03043e-10	0.0583213
1.09052e-10	1.03979e-10	0.0487869
1.09052e-10	1.04916e-10	0.0394227
1.09052e-10	1.05853e-10	0.0302243
1.09052e-10	1.0679e-10	0.0211872
1.09052e-10	1.07726e-10	0.0123074
1.09052e-10	1.08663e-10	0.00358057
1.09052e-10	1.096e-10	0.00499705
1.09052e-10	1.10537e-10	0.0134293
1.09052e-10	1.11474e-10	0.0217198
1.09052e-10	1.1241e-10	0.0298721
1.09052e-10	1.13347e-10	0.0378897
1.09052e-10	1.14284e-10	0.0457759
1.09052e-10	1.15221e-10	0.0535338
1.09052e-10	1.16157e-10	0.0611666
1.09052e-10	1.17094e-10	0.0686772
1.09052e-10	1.18031e-10	0.0760687
1.09052e-10	1.18968e-10	0.0833437
1.09052e-10	1.19904e-10	0.0905051
1.09052e-10	1.20841e-10	0.0975555
1.09052e-10	1.21778e-10	0.104497
1.09052e-10	1.22715e-10	0.111333
1.09052e-10	1.23651e-10	0.118066
1.09052e-10	1.24588e-10	0.124697
1.09052e-10	1.25525e-10	0.131229
1.09052e-10	1.26462e-10	0.137664
1.09052e-10	1.27398e-10	0.144005
1.09052e-10	1.28335e-10	0.150253
1.09052e-10	1.29272e-10	0.156411
1.09052e-10	1.30209e-10	0.16248
1.09052e-10	1.31145e-10	0.168462
1.09052e-10	1.32082e-10	0.174359
1.09052e-10	1.33019e-10	0.180174
1.09052e-10	1.33956e-10	0.185907
1.09052e-10	1.34892e-10	0.19156
1.09052e-10	1.35829e-10	0.197136
1.09052e-10	1.36766e-10	0.202635
1.09052e-10	1.37703e-10	0.208059
1.09052e-10	1.38639e-10	0.21341
1.09052e-10	1.39576e-10	0.218689
1.09052e-10	1.40513e-10	0.223898
1.09052e-10	1.4145e-10	0.229037
1.09052e-10	1.42386e-10	0.23411
1.09052e-10	1.43323e-10	0.239115
1.09052e-10	1.4426e-10	0.244056
1.09052e-10	1.45197e-10	0.248933
1.09052e-10	1.46133e-10	0.253748
1.09052e-10	1.4707e-10	0.258501
1.09052e-10	1.48007e-10	0.263194
1.09052e-10	1.48944e-10	0.267828
1.09052e-10	1.4988e-10	0.272404
1.09052e-10	1.50817e-10	0.276923
1.09052e-10	1.51754e-10	0.281387
1.09052e-10	1.52691e-10	0.285795
1.09052e-10	1.53627e-10	0.29015
1.09052e-10	1.54564e-10	0.294452
1.09052e-10	1.55501e-10	0.298703
1.09052e-10	1.56438e-10	0.302902
1.09052e-10	1.57374e-10	0.307052
1.09052e-10	1.58311e-10	0.311152
1.09052e-10	1.59248e-10	0.315204
1.09052e-10	1.60185e-10	0.319209
1.09052e-10	1.61121e-10	0.323167
1.09052e-10	1.62058e-10	0.327079
1.09052e-10	1.62995e-10	0.330946
2.18105e-10	1.63932e-10	0.33046
2.18105e-10	1.64868e-10	0.322901
2.18105e-10	1.65805e-10	0.315427
2.18105e-10	1.66742e-10	0.308037
2.18105e-10	1.67679e-10	0.300729
2.18105e-10	1.68615e-10	0.293503
2.18105e-10	1.69552e-10	0.286357
