# x phi_a(x) phi_b(x) 
x;phi_a;phi_b
1.1;6.61768;1.39812
1.2;6.17845;1.25454
1.3;5.78378;1.12731
1.4;5.42893;1.01494
1.5;5.10948;0.915909
1.6;4.82136;0.828694
1.7;4.56091;0.751874
1.8;4.32487;0.684141
1.9;4.11035;0.624322
2;3.91484;0.571382
2.1;3.73612;0.524415
2.2;3.57228;0.482636
2.3;3.42166;0.445369
2.4;3.28281;0.412032
2.5;3.15446;0.382124
2.6;3.03551;0.355216
2.7;2.92501;0.330939
2.8;2.82212;0.308976
2.9;2.72609;0.289054
3;2.63629;0.270936
3.1;2.55214;0.254417
3.2;2.47312;0.239321
3.3;2.39881;0.225493
3.4;2.32878;0.212798
3.5;2.26269;0.201119
3.6;2.20022;0.190353
3.7;2.14109;0.180408
3.8;2.08503;0.171205
3.9;2.03181;0.162674
4;1.98123;0.154751
4.1;1.9331;0.14738
4.2;1.88723;0.140514
4.3;1.84349;0.134106
4.4;1.80172;0.128118
4.5;1.76179;0.122515
4.6;1.7236;0.117264
4.7;1.68701;0.112337
4.8;1.65195;0.107708
4.9;1.61831;0.103354
5;1.586;0.0992542
5.1;1.55497;0.0953885
5.2;1.52511;0.0917401
5.3;1.49639;0.0882931
5.4;1.46872;0.085033
5.5;1.44206;0.0819468
5.6;1.41634;0.0790224
5.7;1.39153;0.0762488
5.8;1.36756;0.0736158
5.9;1.34441;0.0711143
6;1.32203;0.0687357
6.1;1.30038;0.0664721
6.2;1.27943;0.0643163
6.3;1.25914;0.0622616
6.4;1.23949;0.0603018
6.5;1.22044;0.0584313
6.6;1.20196;0.0566447
6.7;1.18404;0.0549371
6.8;1.16664;0.053304
6.9;1.14975;0.0517412
7;1.13333;0.0502446
7.1;1.11738;0.0488107
7.2;1.10187;0.0474359
7.3;1.08679;0.0461172
7.4;1.07211;0.0448515
7.5;1.05783;0.0436361
7.6;1.04392;0.0424683
7.7;1.03037;0.0413457
7.8;1.01717;0.0402661
7.9;1.0043;0.0392272
8;0.991752;0.0382271
